;; Host name	baobab.eead.csic.es
; Job started	2018-04-25.122350
; Job done	2018-04-25.122350
; Seconds	0.25
;	user	0.25
;	system	0.02
;	cuser	0
;	csystem	0
;organism	genome_size	contigs	percN	perc_masked	genes	<upstream_length>
Aegilops_tauschii.ASM34733v1.37	3.314e+09	429892	18.8	29.0	36308	2690
Amborella_trichopoda.AMTR1.0.37	7.063e+08	5745	5.4	17.4	28384	2682
Arabidopsis_lyrata.v.1.0.37	2.067e+08	695	11.1	32.9	33501	1799
Arabidopsis_thaliana.Columbia.GCF_000001735.3_TAIR10.NCBIRefseq	1.197e+08	7	0.2	22.0	38161	638
Arabidopsis_thaliana.TAIR10.37	1.197e+08	7	0.2	19.5	33977	1151
Beta_vulgaris.RefBeet-1.2.2.37	5.662e+08	40245	8.6	26.6	28031	2260
Brachypodium_distachyon.v1.0.37	2.719e+08	83	0.4	20.5	27550	2326
Brassica_napus.AST_PRJEB5043_v1.37	8.482e+08	20899	13.0	13.0	105276	1862
Brassica_oleracea.v2.1.37	4.886e+08	32928	8.8	19.8	60694	2195
Brassica_rapa.IVFCAASv1.37	2.838e+08	40367	3.8	17.7	42309	2183
Chenopodium_quinoa.PI614886.392.v1.JGI	1.385e+09	3486	4.5	67.7	44776	2591
Chlamydomonas_reinhardtii.v3.1.37	1.204e+08	1558	12.5	29.9	14684	1441
Corchorus_capsularis.CCACVL1_1.0.37	3.172e+08	16522	0.0	39.7	31549	2070
Cucumis_sativus.ASM407v2.38	1.938e+08	186	1.8	15.6	24079	2218
Cyanidioschyzon_merolae.ASM9120v1.37	1.673e+07	22	0.0	6.7	5009	818
Dioscorea_rotundata.TDr96_F1_Pseudo_Chromosome_v1.0.38	4.567e+08	21	11.1	28.4	19240	2447
Fragaria_vesca.Hawaii4.Fvb2.0.GDR	2.117e+08	8	7.0	27.6	33538	1822
Glycine_max.Glycine_max_v2.0.38	9.784e+08	1189	2.4	51.7	57105	2525
Gossypium_raimondii.Graimondii2_0.38	7.614e+08	1033	1.8	59.4	38719	2492
Helianthus_annuus.HanXRQr1.0.38	3.028e+09	1528	3.4	21.2	58569	2584
Hordeum_vulgare.HarunaNijo.20151026.NIAS	2.006e+09	1712261	11.3	62.0	51249	804
Hordeum_vulgare.IBSCv2.37	4.834e+09	9	11.6	60.3	42774	2637
Klebsormidium_nitens.NIES2285.171026.v11.TITECH	1.042e+08	1814	1.0	1.0	17153	865
Leersia_perrieri.Lperr_V1.4.37	2.667e+08	12	0.4	31.7	31516	2211
Lupinus_angustifolius.LupAngTanjil_v1.0.38	6.092e+08	13573	0.7	25.2	14669	2751
Manihot_esculenta.Manihot_esculenta_v6.38	5.821e+08	2019	14.9	36.8	33516	2363
Marchantia_polymorpha_320_v30.JGI	2.258e+08	2957	6.7	29.3	19287	2174
Medicago_truncatula.MedtrA17_4.0.37	4.128e+08	2186	5.5	30.8	52918	2298
Musa_acuminata.MA1.37	4.73e+08	12	17.4	27.0	38658	1968
Nicotiana_attenuata.NIATTr2.38	1.492e+09	35134	11.7	36.1	21344	2765
Olea_europaea.sylvestris.451.v1.JGI	1.142e+09	41256	9.7	66.0	50684	2695
Oryza_barthii.O.barthii_v1.37	3.083e+08	12	0.8	43.8	37849	2217
Oryza_brachyantha.Oryza_brachyantha.v1.4b.37	2.608e+08	7485	6.7	13.1	34598	2246
Oryza_glaberrima.AGI1.1.37	3.164e+08	1951	4.1	10.7	74579	2028
Oryza_glumaepatula.ALNU02000000.37	3.729e+08	12	19.2	53.5	39702	2165
Oryza_indica.ASM465v1.37	4.27e+08	10490	3.8	11.3	89723	2005
Oryza_longistaminata.O_longistaminata_v1.0.37	3.264e+08	60198	9.8	33.9	32868	2159
Oryza_meridionalis.Oryza_meridionalis_v1.3.37	3.357e+08	12	23.8	52.7	32549	2204
Oryza_nivara.AWHD00000000.37	3.38e+08	12	8.3	48.0	38741	2179
Oryza_punctata.AVCL00000000.37	3.938e+08	12	0.4	52.9	37791	2218
Oryza_rufipogon.OR_W1943.37	3.38e+08	12	1.9	47.3	40584	2171
Oryza_sativa.IRGSP-1.0.38	3.75e+08	63	0.0	40.4	90162	1948
Ostreococcus_lucimarinus.ASM9206v1.37	1.32e+07	21	0.0	14.7	7664	521
Phaseolus_vulgaris.PhaVulg1_0.38	5.211e+08	708	9.3	29.4	28472	2596
Physcomitrella_patens.ASM242v1.37	4.8e+08	2106	5.4	52.5	32826	2186
Populus_trichocarpa.JGI2.0.37	4.171e+08	2518	3.2	35.7	42344	2475
Prunus_avium.Satonishiki.PAV_r1.0.GDR	3.738e+08	9	34.0	52.9	43673	2094
Prunus_mume.BJFU1210120008.GCF_000346735.1.NCBIRefseq	2.34e+08	8164	7.2	29.7	26524	2047
Prunus_persica.Prunus_persica_NCBIv2.38	2.274e+08	191	1.2	22.5	27107	1984
Prunus_persica.Prupe1_0.37	2.273e+08	202	1.2	17.3	28898	2217
Selaginella_moellendorffii.v1.0.37	2.126e+08	759	1.9	38.8	36200	1436
Setaria_italica.JGIv2.0.37	4.057e+08	336	1.2	6.0	36330	908
Solanum_lycopersicum.SL2.50.29	8.236e+08	3144	10.4	30.5	38735	1724
Solanum_lycopersicum.SL2.50.38	8.236e+08	3144	10.4	30.5	35216	2429
Solanum_tuberosum.DM.v4.03.PGSC	7.25e+08	12	12.5	12.5	39028	2401
Solanum_tuberosum.SolTub_3.0.29	8.107e+08	13	15.8	54.9	42974	1763
Solanum_tuberosum.SolTub_3.0.38	8.107e+08	13	15.8	54.9	40430	2527
Sorghum_bicolor.Sorghum_bicolor_NCBIv3.38	7.087e+08	867	4.7	69.5	35479	2276
Theobroma_cacao.Theobroma_cacao_20110822.37	3.46e+08	711	4.4	25.3	29707	1666
Trifolium_pratense.Trpr.37	3.048e+08	8595	11.7	30.6	41184	1849
Triticum_aestivum.TGACv1.37	1.343e+10	735945	5.7	47.5	122478	2520
Triticum_urartu.ASM34745v1.37	3.747e+09	499222	19.7	24.1	36922	2601
Vitis_vinifera.IGGP_12x.37	4.863e+08	33	3.3	43.2	30609	2424
Zea_mays.B73RefGen_v4.38	2.135e+09	267	1.4	90.2	46272	2560
